,manual,Original_Comment
0,-,The new one sucks very hard to work on and cost a bundle for parts. Modern times are the worst.
1,=,Oh for the Morris minor
2,-,"imagine being set on ""owning a Chevy EV.""  i suspect someone like that is quite the mouth breather"
3,=,Parts are made in china..but India wants them to make in India itself..
4,=,"Why, why, why do reviewers always test the top of the range hybrid models, which will sell in much lower numbers than other models. The hybrid makes no sense at all if you do a lot of long journeys."
5,+,"Nice job guys.  Glad this vehicle speaks to your generation.  Gotta agree with the old guys, Not a fan of the Haptic Touch controls.  Keep up the good work."
6,=,"My nine year old Nissan Note is getting old and will need to be replaced around 2025/2026, this could be just the car. It is just a bit shorter than the Note and it has a lot of space for putting things, such as my cats' huge cat basket. It will have to compete with other contenders such as the Tesla 2 and electric Nissan Micra. One of the main issues will be range, 250 miles and above would be practical."
7,+,Suhani will really impressed ðŸ˜
8,=,"""Engine start"" haha. They couldnâ€™t change the text from ice cars."
9,-,"I'd own the VW if they came to Canada.

Never mind. It's too slow."
10,=,"Hey Christian Slater called, he wants his voice back"
11,=,"I think the word Lewis is trying to say is ""conservative"". That is classic VW."
12,=,Doug is the type of guy to use half of the alphabet in the word 'this'
13,-,This would be my perfect car if the interior wasn't so stupid. Vw needs to go back a generation with their interiors. The software they use currently is so bad
14,-,"Really forward thinking. As a start, VW, bring the ID.3 to the US....the ID.4 is too family oriented for younger drivers. We need more fun cars. ID2/3 GTI?"
15,=,So 4 of them would be as powerful as a Bugatti ?
16,+,that is sick
17,=,The camera angle making the A pillar look oversized? Or itâ€™s really that big?
18,=,gemera means give more in swedish how do i know well im swedish
19,=,"Real question, what happens when you have an accident and somehow the hydrogen catches a light? Wouldn't that be really dangerous?"
20,=,Is it for sale now?
21,=,Why is the minion tied up ðŸ˜§
22,-,Spews a heap of fuel out the exhaust.. use it to make flame's out the exhaust system lol
23,=,"Tesla is asking for duty exemption for its cars. If government allows that than other brands will also ask the govt for exemption. We are already having Tata motors and Hyundai, which are manufacturing their electric vehicles. Now Tesla demands royal treatment for themselves which can not be done. Even Mercedes announced its EVs assembly in India. Are they unaware of Indian market."
24,-,"Sell it or use it as a local city use car, and not a road trip car. And only charge it at home

Kind of ironic, what's the use if an off road vehicle when using it out in the middle of nowhere leaves u stranded cause chargers and to be trusted and relied upon

Clearly non tesla cars didn't think of all this and just assumed everyone will charge at home

Or just petition tesla to offer non tesla cars charging for a 100$ per month subscription that doesn't include cost of charging

If tesla does that their stock will go to the moon

Bro with a gas off road vehicle u can carry extra Jerry cans of gas, you can go to a gas station anywhere u like, fill up in 2 minutes. This entire vehicle is useless for its intended purpose

And get a towing subscription service that's nation wide with alot of miles for free included so if any of u cars need a tow it's free bud"
25,=,I wonder how many miles one of these motors is rated for.
26,-,i dont like this cars.this is  robots
27,=,"Sir, what about ""lexus""cars"
28,+,"What a beautiful work. I've got a beetle, here in brazil we call them ""fusca"" (it's pronunced fooska). It's a brave and simple car."
29,-,"While I love Tesla, fully electric vehicles have no place in Europe due to weather. We could see as an example over last few weeks we had a little bit of frost here in the UK and the disasster happened. All of the sudden the range of all EVs dropped by 75% due to cold weather. With the range of 65 miles when fully charged, your chance of getting to work are very slim."
30,+,"kinda like vtec with the larger cam-lobes at higher rpm.... but look at nissans VVEL system first tested and proven on the 370z for the intake valve train where electronic actuators continuously adjust valve lift(how much the valve opens), nissan used it later on the 5.6 v8 in the QX56 also and that system is now in the new TITAN v8 on the intake and exhaust valve trains giving it more power and fuel efficiency...."
31,-,VW Never sold a pick up in the US? You need to do more research prior to making videos.
32,+,"Tesla UK are also discounting new Model 3 cars by around Â£2000. Â£38,790 for a rear wheel drive new white Model 3. 305 mile range WLPT."
33,=,"Strad: itâ€™s so cold at 0 Celsius 
Me in Canada where itâ€™s -20 Celsius:"
34,+,waooo nice car and u are so beautiful
35,-,EVs were always a scam.
36,=,Hopefully none of them are fitted with winter tires
37,-,Good luck finding a charging station powerful enough to charge it to 80% in 18 min.
38,-,The interior is awful
39,=,Now how r u gonna send this to me
40,=,Good review but with all these reviews no price is never mentioned.
41,+,2 years you will be waiting for one
42,-,Too bad french car brands are as reliable as a wet tissue and their value is demolished after a short time.
43,-,Has anyone seen stopping distances for any of the ID cars? I notice the story being repeated about engine braking meaning the drum brakes on the rear are fine but unlike other cars no-one seems to be testing that claim? Drum brakes are known to suffer badly from fade with more spirited use.
44,+,Intro music is ðŸ‘Œ marek thanks made my friday much easier..
45,-,"It sounds like VW (unlike Ford or GM) realizes that once Tesla releases their ~25k USD car, it will be even be harder to catch up with Tesla in North America. In fact, if a Tesla small EV arrives soon to market in the US, and is well received, it very well could be a knock-out blow to several automakers competing in this space. VW competes in this space in NA, so smart of them to go hard this way now. It is inevitable, they will have to go this direction in the future anyhow, or VW will receive a knockout blow in NA."
46,=,Where is the handbrake?
47,+,"This is cool and in the right spec. A possible alteration may be a fiat 500 e-conversion with no gearbox (Gear lever) and a central driving position. ðŸ¤ª

Q. The gearbox in the video looks new. Is this an original part or did you install a newer gearbox which could handle the increase in power?

Love these videos."
48,-,Hate when people do this shit!
49,=,Upgraded to a 2 bbl carb I see
50,-,2025! Why are they waiting so long? EV drivetrain is already developed. Must have a load of small fossil cars to sell first. ðŸ¤”
51,-,"We had a Fiat 500 lounge 2014 top spec donâ€™t get me wrong it looked great very stylish however after living with it for a few years the poor build quality started to show it ugly head then trying to get warranty work done wow thatâ€™s a challenge in itself so investing more money into a fiat again hell no we traded it in with only 10,000 miles 4 years old from new a new Ford fiesta ST line X eco boost 1.0 and wow the wife loves it a much better car we should of bought that first time around."
52,=,I'll stick with my MG5.  Â£19500 after discounts and real world range averaging at 200 miles.
53,=,Wait how many balls tho
54,=,So you're just gonna slouch over in the back and then just speak about leg room and not head room? ðŸ¤”.  Ahm. Hmm
55,+,"Imagine this same size vehicle.  Take all the junk in the front and move it to the back.   Now have a more vertical window in front and move the seats forward.   How much more seating space would you have?   No it would not be a VW van as this is still much smaller, but far more useful.    Ah!, you say, aerodynamics would suffer!     True, but is the fiat meant for high speed long distance commutes?  Not in my opinion, it's a city car, at that speed you would see little difference in range."
56,+,This line-up is insane!! True dream stuff!!!
57,+,Competitors cost like 10k more.
58,=,Why has no one commented on Tesla NOT dropping the Prices in Australia to near Equal of other Markets supplied by China
59,-,electric is for the lemmings
60,+,With the model y the steering you can change the mode so it's softer for the car.
61,=,"25.000 â‚¬ with 250Km range, 16 inches steel rims, 7inch primary display and partial led lights? ðŸ¤­"
62,-,This video is a perfect example as to why fully electric vehicles are not the way of the future and STILL people will try to defend these less effective cars.
63,-,So let me get this straight. These shitty little EVs that can only be driven very slowly cost almost as much as a Honda Civic Type-R or Toyota Yaris GR???? And that is even after taxpayers' money has been swindled for the EV subsidy?
64,-,That pinched rubber door seal hurts to watch ðŸ¤£
65,+,We love our ID4. Wonderful ride. More comfortable than our model y which my wife might trade in to get the AWD because we have the rear wheel drive right now. The tech and interior work so well together. Forget what they say about too much screen and touch sensitive buttons. You get used to it in less than a week.
66,=,What about Indian company and manufacturer pravign i think they will dominate in India for car ðŸ˜
67,-,All you need to add is 1000 pounds of battery's...
68,-,"I absolutely love the new look of your hummer. That said, I absolutely hate the hummer and evâ€™s period. The hummer is my most hated though."
69,-,"Donâ€™t say anything bout Tesla, go check Elon Musk already sued a file on your name... ðŸ’€ðŸ˜‚"
70,+,that v dub was way to nice to do this to
71,-,"Love to own a electric car and love the 208 but they are so overpriced, I can wait till I donâ€™t have a choiceâ€¦"
72,=,9:05 ohh the zipper was open xD
73,=,"Has anyone, ever, tethered something down in their boot? ðŸ¤”"
74,=,VW: let's pour tons of money in a car that will represent the future for the masses. And here's 10 bucks for the infotainment system.
75,=,"I Think ðŸ¤” Indian Government Is Right...
Because Of This Tesla build plant in india then indians getting job"
76,=,Heâ€™s  driving through Watford lol
77,+,Great job guys!!!
78,-,"Musk is a non sense 

He bought twitter or not ?
Always u turn

These bullshits can never do business

He is high on drugs and lives in his own fantasy"
79,=,I think itâ€™s a â€˜ Cock Chamberâ€™
80,-,Is anyone else exhausted by time his video was done ðŸ˜‚
81,+,Looks better in the thumbnail!!!!
82,-,"Id4 looks so much better to me than a model Y. Model ys are ugly imo. It's not all about speed. You'd have to step up to the model s or x to up the looks game and that price range is way out of my
 league"
83,=,Ginny Iâ€™ve missed you. I was wondering where you went after carbuyer
84,=,Thats not a motor thats just couple of gear
85,+,Bang tidy loving your work !!
86,-,"You can't lower the windows on a supposedly family car? And at that price? Sorry, pass."
87,+,That has to be one of the cleanest old VW's I've ever seen ðŸ˜³ no grease or dirt on anyone's hands at all!!!
88,=,The motor isnt the real brains
89,=,Try and open a real car engine
90,-,Didnâ€™t all these issues occur with the TFL guys?? These 1Gen EV Hummers have way too many problems for this much money. Hope it works out.
91,=,where is the Turbo ?
92,-,"Abarth owner here: scorpions yes, sound effects no.
I love the looks of it but I think they missed an opportunity here.
They should have focused on bringing a budget sports EV that outperforms the ICE model in every performance metric. Looks like itâ€™s trying to be something itâ€™s not in the cabin.
I love abarth but at 38k you are competing with a different class of car, frankly one Iâ€™m uninterested in."
93,=,No it's not ðŸ˜„
94,-,"I would have taken it apart after running it. I feel it was compromised from being taken apart as the head surface torque, gaskets, flywheel position, Apex seals and springs are very sensitive. Would be nice to see one that hasn't been tampered with run."
95,=,"Tesco Lamborghini
Like please"
96,-,maybe stick to your lego robot stuff as you seem to have no clue and not even entertaining to watch
97,=,"Not sure on electric cars BUT on these new autos like jags, audis etc, if the car is flat, wonâ€™t turn on.. there is always a lever to get it out of park to be able to move it in neutral.."
98,+,Getting road head just got so much simplier
99,=,So does this EV Beetle still have the original gearbox and diff ?
100,=,"Serious question, so they make an adapter that would let you use Tesla superchargers?"
101,=,This and rotory engines been around.  P.O.S. automobile industry only listened to Big-O for 100 years.
102,-,Half the video seems to be watching him try and start the engine
103,-,"The WLTP is such garbage, it makes you wonder how it even exists"
104,=,Top Speed??????? For how many miles???????
105,-,Is he a tesla sponsor? None of his videos are about flaws in Tesla. Nothing is perfect. Neither is Tesla. He never talks about the cons.
106,-,Lol what an ugly car.
107,=,The bolt is dead.. long live the bolt!
108,+,"10:32 Matt you had me laughing pretty hard here, haha. Nice one"
109,+,The ramp looks like the original fiat factory in Turin.  I donâ€™t know why they donâ€™t use it for more advertising.  Itâ€™s an amazing placeâ€¦.rooftop banked test track!
110,=,No chance I'm just finishing up my head gasket for my r53
111,=,"Get over your self,your hands are normal size"
112,-,did you just mispronounce Volkswagen? how the fuck does that happen
113,+,"So basically VW wanted to make their engine more efficient without completely redesigning it, and this is how they did it. Very interesting video!"
114,=,Would anyone else think the cars a little girly or is it just me?
115,=,A tail back...lol
116,-,AT THAT POINT NO MORE HOUSE ANYMKRE
117,-,57 grandâ€¦ Lol
118,=,World fastest road legal car is pinenferina batista which is an ev and owned by mahindra.
119,+,"The rear spoiler does help aerodynamic efficiency, not just for looks!"
120,-,Your shorts dont match the car.
121,=,First you come to India
122,-,Am I the only mechanic who is bothered by so much freaking mechanical ignorance ? Like why the hell would you yeet the electrical parts without disconnecting all the plugs before ? Or why would you open it with a freaking hammer ? I don't know why I'm saying all of this but it has to come out x)
123,-,Did I just see the fact that this car can cost up to Â£47k? Itâ€™s nice but not anywhere near that nice.
124,-,VW is too late to the plate! Tesla is starving the competition from profits! ðŸ’ŽðŸ™ŒTESLA ðŸ˜ŽðŸ‡¨ðŸ‡¦2565sharesðŸ’ª
125,=,"The next knight rider, maybe?"
126,+,"damn supercar blondie thicc ;))
no wonder those Arabs love her lmfao"
127,-,"Yeah, It's cool until it breaks and VW refuses to support it.  See the ID4 woes that a man has had with VW not supporting repairs on that vehicle."
128,-,No rear seat vents or opening windows. You will very soon regret your purchase if you carry people in the rear. I had a ventilation problem with my Renault Grand Scenic and it had full roof opening. My recommendation? Don't buy it.
129,=,We WANT a kit for the BEETLE 1303 ðŸ˜Ž
130,+,Most of the people of india belong to middle family. So I think small car is better than tesla .
131,=,Is that english?
132,=,When carwow doesn't respond to your comment ðŸ˜”
133,+,Good cars if they were looked after.the fiat fire engine is bombproof
134,=,Its like the iphone 6
135,+,If your wife still saves feed bags for fabric it could be an affordable car for living in the city.
136,=,At the 9:03 mark your numbers are backwards.
137,=,"I would love to convert a Beetle to electric but it may be a bit too cost prohibitive for myself. I also have my first car, I bought it in 1983, it's a 1966 Plymouth Belvedere II 2 door hardtop, red on red, it originally had a 273 V8,  it now has a 440."
138,-,"If ugly and hideous had a babyâ€¦ this would be it 
But hey it is what it is"
139,=,The sticky stuff is the actual mosfets used to turn each field on and off in the motor. Wired in parallel and three bunches for each of the three phases. There are tiny bond wires set inside the resin youâ€™re playing with. Hopefully none of the wires got ripped out playing with it!
140,=,can you plz review the lambo urus
141,-,Wow... Way to ruin a perfectly good car. Bunch of dummies - enjoy your 4 hour charge time from dirty power from a dirty power station. What's the point in this?
142,-,"Went to the VW dealership the other day, got my eye on the t-roc. The interior quality is worse than in a early 90s Skoda. Tried the Golf. Same story. VW made huge cuts cause the new cars feel extremely cheap and low quality."
143,-,"Fiat is kinda extinct in North America. The only car they make there is the 500L(X?), and it's forgettable at best."
144,-,very cheap quality for 700eur
145,-,"I would have preferred a version of the Fiat 500 with the pointless back seats taken out to save weight, give more battery perhaps, or just increase luggage space. But as long as Fiat make a big stack of cash on this that offsets the cost of making other electric cars, I'm fine for people to soon be parted from their money. 

I'm not currently aware of a smaller car that's still expected to be made for the next few years and is available in Europe at scale. The Microlina is probably a quadricycle, as is the Ami and the Smart is a car but they're ceasing production if they haven't already. That leaves the Fiat 500 on my fantasy wishlist and maybe people who like it can pick up this massive downgrade in the future? Perhaps retrofit a better battery than either have currently?"
146,-,"What is the purpose of this clip. You are not teaching anything. You are just destroying the 
Tesla motor."
147,=,BjÃ¶rn City Car for wifeyðŸ‘¨â€ðŸ‘©â€ðŸ‘§â€ðŸ‘¦
148,=,"the only thing I dont like about carwow videos is the sound check, lacks some oomph"
149,-,"Is it me? Or do I get the impression that Harry really is not that enthusiastic about these cars? The tech would drive me crazy (I struggle with my 4 yr old Audi) and I think the interior is horrible â€“ It's also too big. Loved my Mk1 Golf, but could not go for this iD3 at all."
150,-,"ItÂ´s astonishing that the VW engineers didnÂ´t consider that children will be riding in the back.. (thinking about the door handles) Hope the facelift brings back long travel internal handles with a distinctive  ""unlock threshold""."
151,+,I'm in love with the car... I think it will be my first car to buy it. I'm convinced
152,=,Hey Bob... You never mentioned the price. How much?
153,=,I loved my VW. Believe it was a 1970. If itâ€™d had air conditioning Iâ€™d probably still have it.
154,-,"All that wasted space in front of the ONLY cupholder, some of us carry passengers..."
155,=,Very good and funny videos bring a great sense of entertainment!
156,-,"Question... Can it keep the intake valve open as long as it wants to? In other words does the solenoid store the pressure it gets from the camshaft? Is it something that could simulate a bigger race/performance camshaft that can simply be programmed in? Or does it only have infinite control over the intake valves while camshaft pressure is applied to the solenoid?

Sorry if I didn't word this right... hopefully somebody gets it lol."
157,=,Thatâ€™s a future challenger
158,=,Iâ€™m looking forward to the ability to  grind on my Tesla to make it open .
159,=,"Wife's done 50,000 miles,had two thermostat housings,two crankshaft sensors,time to get rid for a Suzuki swift."
160,=,The chargers suck but every hummer I have see that went off road has had the same issues.
161,=,there is a mitisubishi logo inside a tesla motor
162,=,Lincolns balls dropped wtf
163,=,What's inside your body
164,-,I was like â€œyea okay Iâ€™d still rather a Teslaâ€ UNTIL I saw that storage in between the front seats
165,-,Now maybe the can both bring down the price of their cars to what regular people can afford.
166,=,bro shes so pretty!! congrats man im happy you happy :)
167,=,Where is the banana box test? ðŸ¤£
168,-,"Looks awful, hate the front.Just looks like a fiat 500e no random pops and bangs. Iâ€™m out !"
169,=,"38 complaints per 10000 isn't much, doesn't concern me."
170,-,It sounds like the remote control car I used to race at school!
171,=,Are blinkers used differently in England or does Mat now know how to use them?
172,+,I hope he does make a profit. the more electric cars the better!
173,+,"Gonna make a bet before I watch this that Johnny will like it a lot.
Ok, watched it. Well yeah, he â€˜likesâ€™ it. Summary seems spot on - if you love the 500, youâ€™ll kill for this. If itâ€™s choice between the others itâ€™s tricky."
174,=,"In the same way that the state weights and measures dept or ag dept oversees gas pumps, they will need to have standards on electric chargers."
175,-,Perhaps VW is banking on silicon batteries being available by the time the ID.2 is released. Pure speculation on my behalf.
176,-,"I Think Elon musk lMaking  tesla  manufacturing branch in India without testing  It's not a good idea but making 
A Manufacturing Branch in India is also good"
177,-,Mine had air bag fault day 1. Iâ€™m a ID.3 Beta tester
178,-,"Electric cars for the city, ok, as they are completely useless for longer trips, however who in Odin' s name would use this behemoth of expensive junk for driving around town? I get the idea for preserving the planet, but promoting 2+ ton vehicles for the city, having a lesser capacity than a bloody peugeot 306, made to last only 5/10 years, made from materials which are in no shape or form eco friendly for the sole purpose to make even greater proffit margins, is in my honest opinion a bloody disgrace"
179,=,"You talked a lot about engine weight, what about the weight of batteries versus the weight of gasoline?"
180,=,"Not necessary, tata is here to serve, unhe bolo Elon bhai udhar he raho"
181,=,All fun and games until the Wi-Fi goes out and thereâ€™s no more Internet in the world or cellular data
182,=,"""footlong subway"" - just say a foot."
183,-,Peugeots are generally made of plastic and disappointment. Not for me
184,=,But can it run Crysis?
185,-,The reality is I will still have the diesel. you did a journey that was 80 miles itâ€™s depleted your battery by 100 miles you had 60 left roughly so this means before you can set off home from a long day at work you have to stop off and charge your vehicle which means your day becomes even longer..
186,=,No heads up display ðŸ˜¢ didn't hear massage seats ðŸ˜‚
187,=,Canâ€™t wait for the Bus to come stateside!
188,=,Beautiful man just beautiful! Love your guys work. Thereâ€™s not that much places around here I Honolulu Hawaii.
189,=,I geek out over this kind of stuff
190,=,Those white stalks gonna get hell greasy with amerifat hands
191,=,"Imagine Mat Watson in a relationship:

""Here comes the stick of truth"""
192,=,Great effort from Peugeot but the i-cockpit won't suit everyone and as for reliability it's just not a reasonable option.
193,=,It rotates 500 times in one second.
194,=,Mam! What is the price in India of this car
195,=,how is it a shortlist he basically said it was a peace of shit
196,-,ok my engine is out and on the floor. Right lets see what's next....
197,=,All fun and games until your mom threw away the HomePod â€œbecause it was glitchingâ€
198,=,"They have no other way, but to come to India."
199,-,Iâ€™m sorry I canâ€™t drive a car like that. I like loud cars ðŸ‘ŒðŸ»
200,=,"i love your jumper,  where did you buy it  ?. if you dont mind ."
201,-,Why isnâ€™t a Renault Megane Etech? It has tremendous autonomy
202,=,It's still a Fiat!
203,=,"Jim Farley is an epitome of a good leader. He could have let organizational pride and bureaucratic resistance in the way of this move. But like any good CEO should, he looked at a good win-win situation and took it. Good business leadership is about doing the right thing for the long term, not engaging in short-term zero-sum business maneuvers."
204,=,"""What's inside of a Tesla motor"" and doesn't open the motor, amazing...."
205,=,Tata ratan is enough for ðŸ‡®ðŸ‡³ world auto-cars..   ðŸ™ðŸ™.. please reply guys
206,=,"Dan, do you mean motor instead of engine?"
207,=,Yea Rob when you looked at that piston I thought you was looking in a mirror ðŸ˜† lol
208,-,"Amazing design and really interesting materials the technology part is cool but wont make it to an actual car in the near future, the autonomous part is just a stunt there is a dude who controls the car remotely its not actually driving by it self, good job Blondie!"
209,=,Bernie Eccleston saving the day there
210,=,We have 200% import tax in Pakistan and We have So many Tesla Cars Here
211,+,ICE is ICE and that s Awesome
212,=,Another good one John
213,+,Awsome project  !! is it possible classic Jaguar XJ 40 convert to electric?
214,+,"So glad he finally got my Plaid on here. Yeah, they're that fast...All the time...Over and over again, back to back, which many people still seem to not understand....My next wish is for that 911 Turbo S though!"
215,=,"Is Matt a ticktoker?
I saw app in his phone."
216,=,There was an African guy who invented a water engine and he was never heard of again.
217,=,Do a drag race of audi q8 against bmw x7 and merc gls
218,=,lol that goggle fail..... The only problem with including only goggle is that you now have eliminated half the possible sales to Apple people.
219,=,Can you convert toyota hilux to electric?
220,=,Could really do with the Winter Range as well as the manufacturer's 'aspirational' range.
221,=,"Very horrid review, carwow makes so much better EV tests"
222,=,those guys are not mechanic right?
223,-,"We have TATA, We don't want Tesla.."
224,-,Bring the old Volkeswagon back!
225,-,"In general ""compliance cars"" are sort of one off. I believe Fiat just walked away from these cars and getting parts or service support is a pain. I don't own one, have I got this wrong?"
226,-,"Right Key,fob,bracelet all voice assistants, all macbook and mac, all phones, key cards, all iwatches and samsung galaxy watches all iPads, all iPods, other sorce of laptops, pc's bacically all tech you have i your house as well as keys well everything that can unlock and lock your tesla. IK YOU AINT GONNA DO THIS BECAUSE YOUR ACTUALLY SCARED AS HELL THAT YOU MIGHT GET LOCKED OJT OF YOUR TESLA"
227,-,"That VW cars look so old and outdated, in terms of design they are miserable."
228,=,India is best
229,-,i can not believe you destroing that vw it looks original like new...to do an e conversion you have to use something different my friend
230,=,"It is NOT the first electric Fiat 500 E. An electric conversion of the Fiat 500 was first shown at the London Motor Show in July, 2008. Deliveries of the Fiat 500 E began in California, USA on July 2013."
231,=,Who cares about a big boot? Put a storage compartment on it.
232,=,"Is this a kit that can be purchased, and if so, where?"
233,=,Did the RAC turned up in a diesel ford van ??!!
234,=,Price kya hai
235,+,Vw reinventing themselves again! I think this car is the true successor to the original beetle. A peoples car that can be driven daily.
236,-,The future of motoring. Sitting in the inside lane at 50 mph being overtaken by trucks whilst your arse twitches trying to find the next charging point.
237,+,Electric car Wow
238,=,20:50 You should've explained what is going on under the hood.
239,=,Hi Rory please make a video where you tell us what's the advantage and disadvantages of buying a car cash.. I may have some info but It'd be nice to get your perspective.. Love from South Africa
240,=,"I think the zip tie thing would work better if you used the clip ends instead of the finger ends.  The heavier ends and sharper edges would knock the carbon off quicker.  Could then turn them around and do a ""polish"" with the finger end."
241,=,You should open a Matchbox!
242,=,"Polestar is owned by Geely, a Chinese state asset which is Huawei-like in it's treasured status within the Chinese Communist Party. You know.. the fine folks responsible for the displacement of Tibetans from their homes, persecution of minorities, environmental destruction on a scale previously unseen, killing neighboring Indian soldiers on their land, and the list goes on.

This is the point at which many will try to make a valid point that ""everything is made in China"", but do consider who owns the brands. ""Made in China"" =  <35% of the money goes to China. ""Owned by China"" means that < 35% goes anywhere BUT China.

Perhaps a bit more research is needed on your end before you deflect all responsibility for endorsing a product sold by a regime increasingly comparable to that which brought us the VW Beetle."
243,=,I thought I would choose this until I looked at the price of a portable charger
244,=,I am not seeing the link
245,=,"Is the car shown in the video the highest trim, or the one with a price lower than 25k? It'd be great if we can buy this car below 25k."
246,=,Never got to see inside a Tesla motor that was the gearbox and motor controller casing the motor is still intact lol
247,-,700 miles per tank lol for hybrid... EV are dangerous wtf think about it
248,-,"The stupidity of putting wheels that are supposed to look at same direction on each side o the car, but aren't, has to stop! For serious reasons! If they can't put correctly separate wheels on each side of the car, why don't they use non-spiral style wheels that look the same on each side for gods sake??!! It's unbelievable, and their excuse is ""for financial reasons""...
And that thing isn't done just by VW but many others like Tesla etc.
Imagine buying some shoes and the seller says ""from the ones you want we have only a couple of left-sided, do you mind?"""
249,+,awesome cars.... from all the brands
250,-,That rear end is disgustingly ugly.
251,-,"Â£35,000 vs Â£23,000 for a basic Golf..."
252,-,"I have been considering buying this vehicle now for a few months. I drove the ID.3, which has the same motor and chassis, and i noticed several major problems with the test vehicle. The touch buttons on the steering wheel were unresponsive, the touch screen was extremely unresponsive (turning off the heated seats took 2 minutes) the airbag lights were on, we got warnings for the ACC and i noticed several aesthetic issues. the id.3 has several other major issues, including the 12v battery discharging, which will leave you stranded. also, the windshield will suddenly fog up within seconds. i do not feel comfortable buying a car from a company that will put this unfinished garbage on the market. in fact, the Norwegian Automobile Fund does NOT recommend that you buy the ID.3 at this moment."
253,=,"Well Nicki this car would be a complete waste of money , however you got to love it the person that has it all this would be fun to zip into the shops , it does look amazing . Performance  is a little shy would have like to a little more get up and go and more range the battery is just too small. I am an EV owner  ( Genesis GV 60 )  so the most important thing is the range now a days if its les than 300 miles you really have to think about it. Great review look forward to your test drive ."
254,=,"Andy, don't give up. You can use your other hand to masturbate (or film, if you're into that)."
255,=,"What happens in an accident? Hydrogen blimps were ""safe"" until accidents like the Hindenberg. Wull the first accident kill hydrogen for cars for another 100 years?
The tanks may be armoured but the CONNECTONS will not be, so a shattered fuel pipe releases pressurised hydrogen: BOOM!!"
256,+,the diesel golf was a good looking car
257,+,"Fantastic content as always Johnny, I always appreciate the small details you bring to your reviews."
258,-,"well until they make an electric car that will match a petrol car on range and fill up time whats the point? the range is bad they fill these cars with screens and stupid electric devices that drain the batters they make no nose so they are going to run more people over and the big thing, if the are 20 million electric cars on the road where is the electric coming from? we will need more  power stations and that means more pollution. and how is an electric car going to deal with a flood in the road or heavy rain??? plus making the battery's for these cars will produce more pollution. may be just use diesel cars that run off peanut oil thats what the original engine was made to run off or petrol cars to run off alcohol the ford model t was made to run off alcohol these 2 fuels can be grown meaning more plants growing and more jobs and less pollution as they have less toxins than petrol and diesel may be they need to re think the electric car they have been around for over a 100 years and they are still no good."
259,-,Take all seats out and turn it into a small greenhouse......car is load of crap
260,=,"My car heats up a lot .it messes up my coolant system, and my speed sensor pops up, how can I fix this problem that doesn't let my car make gear changes."
261,=,"Guys, please tell me what's music background ??"
262,-,"I donâ€™t understand the bragging about the power when ice 500 starts from 145 hp to 160 to 180, so with 155 is between the basic and the pista."
263,=,"Make one of those 40 minutes videos where you talk about whatâ€™s going on with the golf, the mini, the accord, etc . And where you fix/mod cars with your friends"
264,=,0-62mph......1.65 secs
265,=,"So...
When the shop hands you the bill, and you say WHAT??
Now you know why!!!"
266,=,"Go fund me page lad. Viewers will chip in 

@thewhiteastra"
