,manual,Original_Comment
267,=,I always wondered why popular EVs like Tesla didn't have a grill/vent to cool their batteriesðŸ¤”... I think a battery would get hot just like a combustion engine no?
268,-,I really don't understand why we need to have cars that drive themselves because humans are capable of driving cars and enjoy doing so. This is like the most pointless excuse for technology I have ever seen. Why not invent a machine which cleans a toilet or mows the lawn automatically? Ok I'm just popping down the local BMW garage to pickup my M3 convertible but I'm not going to drive it I will just sit in the back.
269,+,OK seen a few of these conversions it is really cool. Really. Now how can we get 200 miles and how can we convert an American classic the Corvette. And can we add front wheel propulsion in the deal. In 2023 Chevy will introduce a Hybrid Corvette. Gas V8 to the rear 490 HP and 120 HP Electric motor in the front. With the controller matching speeds this is the first All Wheel Drive Corvette Hybrid. I would like to see what can I do for my 2014 Corvette. 1) Electric drive with 200 Mile range AND optionally Front wheel drive!!!  What do you think? I truly admire your work and design. It is right to save the classics with electric it is Okay. You can put the gas motor sounds on a thumb drive and synch it with the throttle position and hear that glorious V8 if required. Keep up the great work. And do a few 1970-1980 Corvettes for us Too! Dennis in Virginia
270,+,"New subscriber!

Looking foward for more impartial & great reviews! ðŸ”¥"
271,-,I seen one on the freeway and it was butt ugly
272,-,"just stupid. If you want (dont ask me why, but Ok) sound from an electric car than let the electric motor do its sound. Electric Motors can emitt sound, if you build them for that purpose but artificial sound of any kind is just ... FAKE. Like the electric sound of masked ICE cars in some older SF-Movies any artificial sound is just ... Aww."
273,=,I think it looks really old fashioned compared to a Tesla.
274,-,I don't think this aged well.
275,-,Exterior and interior design is kinda lame.
276,=,With the window problem it's a problem with all minis and if you hit around the speaker a couple of times whilst holding up the window switch it should release it and the window should then be able to go down
277,+,"I'm a bit disappointed in the Ferrari, to he honest, but once again, the turbo s never ceases to amaze . It's easily the pick of the bunch"
278,=,17:07 McLaren in the background.
279,+,Tesla's efficiency is nuts!
280,=,"Shanna, you and the boys continue to in our daily Worldwide Prayer Chain Sam!  

What are you doing for you?!  Stay healthy, rested and as calm as possible. Please let me know if there is anything else that your Family needs in the meantime. Be well, stay free and God Bless!  Tim Hundley"
281,=,Kinda cool that guy was able to put his name on something pretty much every manufacturer has been doing since forever. Personally probably not a good idea. Less compression usually means less efficiency. Less compression means colder piston sleaves - aka less heat less efficiency. Everything about this makes sense why this technology still sucks compared to every other car on the market mpg-wise. I wonder what the wear life is on that pin and what alloy it is compared to the cams. 200k mile engine? Idk if I see that.
282,=,Santafe from Hyundai
283,-,"The Tesla Model 3 looks horrid. In fact, with the exception of the Model S, the rest of the Tesla range looks tragic. The ugliest is the Model X."
284,=,Im sold 8! Cup holders! Pls take my millions
285,=,Now I want to see the I.D. R vs a McLaren Speedtail/Senna GTR and Aston Martin Vulcan/Valkyrie.
286,=,Funny to see the hosts the interviewers have no idea that Tesla is indeed dominating the charging market and Ford has no choice but to join and Ford should be thankful that Tesla let them join.
287,+,It's nice to see Chris watching someone working for a change.
288,-,Both are trash
289,=,04:56 - Is that a car driving with its boot open on the motorway lol
290,-,"Sorry for being negative about it, but I don't see a good price/performance ratio in this car and how would it sell better than the competition. Perhaps the estate version has a better chance at that in Europe, since there aren't many estate EVs on the market."
291,=,#boycottchina
292,+,"Inside looks good, outside average, performance average ðŸ˜"
293,+,Still think my ID4 is the bees knees. Well chuffed. Get that 5k grant too. Big battery and it doesn't brake the bank. Also get the dealership network that can always help you.
294,-,Why would you do such a thing to a mint condition VW? You couldn't find a junker to restore and convert?
295,-,What a colossal gimmick that car....
296,-,Why can't you put an alternator on the wheels to charge the batteries
297,=,Lmao. That engine cover could be hiding a Diesel engine like that Cars movie
298,=,Heated seats and steering wheel use almost no electricity... WAY less than the hvac system
299,=,"In my view, considering non poluting vehicle, govt should exempt import duty for time frame of 3 or 5 years. After that either they should pay import duty or manufacture here. And this should be applicable for all EV company."
300,-,This 1st race was garbage why leave porsche 650hp against a Ferrari and Splaid 1020hp that's  cheating
301,=,India govt is right....
302,+,These made awesome dune buggy engines/drivetrains
303,-,i cant see another tesla without  saying to myself what an ordinary looking car. Please Elon do a model change; build something exciting. your cars are already looking old and cost an arm and a leg. There is exciting lookig cars out thheir and they aint Tesla
304,+,"How much power is being lost by pulling a vacuum by closing the valve early? Seems counteractive but with leaving the valve open longer, your potentially pushing burnt exhaust gases into the intake causing buildup. They could use a very small lobe on the exhaust side (assuming roller lifters) to then push out some of that air during compression but that would be a complex cam profile.  Electric valving is still expensive and complex,  and with it not being on the market very long, who knows what it's weaknesses are. I suppose by pulling vacuum though would cancel itself in  the fact that it would just pull the piston back upward. Maybe try something similar to a ""Jake brake"" by lifting the exhaust valve open to expel some air before fuel is introduced (direct injection would be needed) but this could be useful in a towing type vehicle.  I'm excited to see what the future holds. Some new technologies,  many are old but have a different twist."
305,=,"Puts fully opened engine in thumbnail
1:39 let us know can we open this?"
306,=,I with car companies would put normal shifters back in their cars
307,+,YESSS finally!! Thank you Bjorn!! All our requests have been heard ðŸ’ðŸ’
308,=,My wife had a VW in our early life. I learned a lot from that experience!
309,-,Evs need at least 500 in range otherwise I'd never buy one
310,=,How's it the car of the future if its right there
311,-,"As a REAL Abarth owner, I find this pathetic."
312,=,what was i first to comment
313,=,I will open a ev car of company name rullerif india the ambassador
314,=,This is what i call a master mechanic
315,+,"Looks like a Porsche  
nice car . 
I will take this over to the New Prius ."
316,-,"It's like watching a disassembly of a rocket ship by a caveman. ""Oooh, what issss thaaaat?"""
317,=,Is this a car review or a samsung ad?
318,=,Can you please convert my '86 Corniche Rolls-Royce ðŸ™‚ðŸ¤©ðŸ§
319,+,Thank you so much i saw is so beautiful car but How about spare parts it easy and available like toyota? F in case  what will happen ???
320,=,You should have just an official size 5 âš½ï¸ to compare  the motor to. Everyone will know what that  looks like
321,=,"As much as I might love to own a â€œGemeraâ€ Iâ€™m sorry to say that it would need a toilet under the driverâ€™s seat because once Iâ€™m in Iâ€™m staying put. At my age and state of health I cannot imagine a better way to leave this world other than at ludicrous speed along the sheep lined roads of Yorkshire! 
As I have a current history of trying to drive a Honda CBR1000 through a Yorkshire dry stone wall, I feel reasonably confident with this statement (although the bikers will understand just how old I am?)."
322,=,"Both are right
1. Indian government wants foreign investor to invest in their country instead of directly dumping things .
2 . Elon Musk wants to know indian consumer by selling products first and to know their intention. As you know Indians loves Dabba Maruti more then any other . In this case , it will be huge risk for Tesla to make a plant there and sustain . And also India is not favourable country for American cars . Ford and Chevrolet has already closed their production in India ."
323,-,All I see is the competition who will make the ugliest car out there.
324,-,We need more people doing this. EV isnâ€™t the way!
325,=,"Hi, could you please do a parking test of all cars you review i.e. how practical these cars are while ease of parallel parking, etc. Especially from the context of SUVs and Sedans. Thank you ðŸ™."
326,=,Where is the tesla
327,=,What size TV I can put in there? Does a L full suspension MTB fit in it? Does it come in more power?
328,=,"How much does it cost to convert a regular car into an electric car? may car is w169 Mercedes 2005, Automatic gearbox and I'm living in Nederland."
329,-,"""this is probably the most advanced electronic motor...""
*Touches it""
""Whoooa what is this sticky gluey stuff"""
330,+,Does anyone know if you can remove the back seats all together to take advantage of the lower trunk space? It would be great for me to use it as a family and work vehicle. The last car that could function like that was the Honda element
331,-,Biden will do anything to not include Tesla in the IRA plan! Biden Sucks!
332,=,"That Beetle didn't need a new lease on life, it was a pristine driver. I at least hope that the engine and other parts removed went to another beetle that actually did need a new least on life and needed that engine."
333,-,Crocs with socks.
334,-,16:55 so this guy launcher a freaking van but doesn't launcher neither the 2019 Swift or the 2022 one? WHAT THE ACTUAL F*UUUUUUUUCKK???
335,+,Elon Musk decision is correct...
336,=,Just imagine what a 1000 hp turbo s would do to these twoðŸ˜‚
337,=,"""Porsche at home"""
338,=,Car wow app in INDIA please
339,+,They tapped Yamaha for the project so itâ€™s probably gonna be good. Everyone including myself doubted the Prius when it first came out so this should be interesting to see a possible game changer.
340,=,How can i buy one
341,-,surely im not the only one who thinks this thing is ugly right?
342,=,"You transposed the M3 & MY prices at 9:00, but we take your point."
343,=,Can't help but see the exotica lurking behind the main course. Will you do a video on the maserati ghibli when it's done? Please?
344,+,Was really looking forward to the review including the EV6.
345,=,Would be great without the music
346,=,Apparently Google says we have the same voice... Hey @MattWatson thanks for turning the heating up in my home ðŸ˜…
347,=,Bet the touch sensitive buttons dont work with GLOVES!!!
348,=,The winner of this car will drive around for FREE??? So you are only going to award it to someone who gets FREE ELECTRICITY? It is NOT pollution free. The pollution is simply moved a few miles away. And it will need to keep operating for 22 years to break even on the carbon emissions of the motor and batteries' manufacturing.
349,=,How comes I can't watch this video on neither my phone nor laptop?
350,+,"Tesla is the cheapest, fastest, most efficient and has most storage space (other than a van). And lets not mention the over the air updates. Followed by Japanese and soon to be Chinese. Legacy auto is definitely in trouble imo"
351,=,"Wherever I see 911 in drag race, I'm be like 911 going wo winâ¤"
352,=,9:00 it's somewhere to put the key if the battery in the key is dead so you can still start the car
353,=,"when I was younger, I could remove the engine in a bug in 20 mins with a floor jack, and did so many many times.... took 4 guys, how long??? hmmmmm"
354,=,12 is nothing. Right now coastal Maine is at 53 below wind chill. Itâ€™s crazy
355,-,"You are forgetting one small thing... the IRA is to promote AFFORDABLE EVs for the next 10 years. So if they can produce a car for under 55K, that will get a tax credit... along with Ford. The SUV classification is tricky as then everyone will class their vehicles as an SUV or trucks to get under the 80K price limit. The Federal government has a formula to determine what's and SUV, and in the model Y's case, its having a 3rd row seat.... so stop whining and get moving on producing affordable cars."
356,=,And i thinked only tfsi had a turbo
357,=,cloth seats for 46k lmao
358,=,2020- The year that a Peugeots interior is better than a VWs
359,-,"3:25 Con-Job Reports is Owned by FORD and dishonest.
Stop using them."
360,-,"Stupid comparo TBH. He complained on the Ioniq 5 for being a clumsy drive but picked it over the EV6 because of the interior for which he eventually criticized as not being practical.

Immediately dismissed the volvo for polestar but then complained of the polestar's space.

Then in the end I thought he would be giving it to the enyaq which does make sense from what other car journalist have said but then ends the whole video with it up to the buyer nonsense.

If that's the case... I'll ditch my child the sweets and things to get the Jag."
361,-,"Why the fake engine noise? The sound generator could make any sound imaginable... So why an ice engine? Not only is it silly, its a huge missed opportunity. I still think an electric Hellcat should literally roar like a tiger. Why not? And you could make this sound like a lightcycle from Tron or a ship from Star Wars or even the Jetsons car. I know some will argue that it shouldnt make any noise. Sure I get that. But if you are going to pipe fake noises, why do the same dull thing everyone else is doing, that is honestly a bit laughable? Why not make it actually fun and cheeky?"
362,=,bruh your kid is growing a real voice lmao
363,=,"Also it's not the charger's issue, it's your vehicle."
364,=,BMW do something
365,=,"hyundai ioniq world car of the year 2022, only manage second round in top gear ev car choice because of so called limited boot space where they didn't even get that right...goes to show the travesty top gear has become with such awful low class journalism"
366,-,this fool has no clue about serviceability aspects
367,-,Stop holding minion HOSTAGE Everyone loves minions
368,=,Is it come in india?
369,+,You know itâ€™s gonna be a good episode when Jonnyâ€™s got his notebook
370,-,"Good christ i hate new cars,  but if you have to buy anything other than Toyota, LEASE IT!"
371,=,It seems they would benefit more MPG by innovating ways to lighten the vehicle.
372,=,"Standardization of fuel only makes sense over many product lines that use the same fuel. For a while, back in the day, there were 3 separate pumps at the local gas station - deisel, leaded, and unleaded. During that crossoever period a 'leaded' nozzle would not fit into an unleaded gas tank."
373,+,"i repeat, Ii will be called model 2: ""2 SEXY"""
374,-,"Sounds like shit.
When are ""muffler tones"" coming to electric cars?"
375,-,Mini needs to step the game up!
376,=,1:09 lincoln has a deeper voice than his dad now
377,+,Haha! Octane matters.
378,-,Toyota and Honda scared in their boots
379,=,Is a ghost driving the carðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£
380,-,"Okâ€¦ 499$â€¦ This shit is 499$ and falls apart or burns itself upon useâ€¦
Great Soyanâ€¦ Pure Chinese quality here ðŸ˜‚"
381,=,Rebuild the engine to have more power would be efficienter
382,=,"""boot"" instead of saying ""trunk"" oww that's verry american huh :D isn't it"
383,=,"With the big battery it has only 4 seats, because the batteries are heavier and the fifth person with luggage would exceed the carry capacity"
384,-,Electric cars can be dangerous
385,=,"Wait, it has no oil filter?"
386,-,Ferrari's driver is an ass at launch
387,-,Stay away from VOLKSWAGEN!
388,-,"Call car, but Tesla software is way more advanced. I donâ€™t think any company will catch up anytime soon."
389,+,I quite liked the looks of the estate version. It's just a pity most of the traditional car companies are not producing affordable electric cars. Â£60000 is just ridiculous for a middle of the road saloon car.
390,-,"RESCUE plan
VW will need something astonishing new to safe their image. A complete new concept of engine, no Ecomotor, no Duke motor, these are just refurnished old concepts with plenty of issues to go for real production.
During the last 20 years we worked on this ""new""concept and with one of the most famous universities in mechanics of the world, we are since some weeks ready to publish it at a World Press Conference as we finished all R&D and the prototype period, just waiting for some funds to produce the definite one. Some details: no crankshaft, no camshaft, no valves, 1/3 of weight of a conventional, ultra compact, more power, turning on all bio-fuel and hydrogen and that with the same block due to a sophisticated variable compression, and of course very eco-friendly at a low production and maintenance cost. Its name: the Barronex engine, suitable for motorcycles to vessels. The solution for hybrid cars. 
Think about, Volkswagen, it is your rescue plan to forget fast the tsunami of financial losses you will suffer during the next years and it will re-create trust in the innovational mind and the dynamics of the European industry. 
""Das Auto"" will make a new world without cheating."
391,-,"Video name changed from My Hummer EV is a disaster, never buy an EVâ€¦ also no comments about how garbage they areâ€¦ somethings not right"
392,=,VW said in another review said they will make millions
393,-,"At the Peugeot pre-launch event I said to the Rep that all EVs, not just the top trim, should have a reversing camera because pedestrians won't know they are about to move back. Every EV on sale today should have a cable storage area under the bonnet, not a quaint handbag taking up luggage space"
394,-,"For those in Canada, Australia, and the EU, 149 Imperial MPG is the equivalent of 1.90 litres per 100 km.
Too bad the 500e isn't available in Canada. We still have a dearth of choices here relative to Europe and elsewhere."
395,+,"Man I like this car, this is reall perfect for teenage people or those young adults working like in a office and living in the city..."
396,-,The vw interior is known for going shabby anyway the rubber feel coating peals
397,=,So basically VW started doing what Honda has been doing since the 80s
398,+,Love the small motorâ€™s Wonder if a tiny LS V8 will come out soon. Lol
399,-,"So annoyed that Tesla have cancelled the RHD versions for now, was really looking forward to getting one this year."
400,+,"And just like that, I forgave Dieselgate..."
401,-,It's funny that the so-called greatest engine in the world was a giant hunk of shit. I worked on many of these piles of garbage. You can't keep the valves adjusted. And you are lucky if they make it to 30k miles.
402,=,"Â£38,000 for a polo or Yaris size. ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£"
403,+,"The pure ego and anger this car has always stirred in car bros Is exactly why I love mine. Going from zo6 to abarth ive also noticed the fiat always gets more womens attention bc it's so cute, all the attention you get in a muscle car is just from other dudes LOL. All around fun car!"
404,-,.....there is a huge lot of vw's near Colorado springs....a sad site
405,+,"VW was built to set track records, not win races, it only gets what, 20min at full throttle.
But what a glorious 20min it would be.
Incredible"
406,=,Spare me the details.
407,+,yes... Jokes are esence of modern car reviews :D i think my actual cars wil be with me for a veeeeery long time! :>
408,-,"if it bleeds, it can be killed."
409,-,"3:27 Convertible is 3 doors only, hardtop has optional suicide door on the passenger side."
410,-,He says Quagg but what he is talking about is a Quarks. WTH?
411,-,Those body panels remind me of cheapo toilet brushes. And zip line ? at the roof near a-pillar - worst solution ever. But  this car is definitely a city car i'd buy.
412,-,"So, the very best supercar is a big fat american 7 Seat family sedan.. costing way way less than the others.. 
this is kind of redicolous- turning the world upside down
Of course Tesla will be THE player in a few years

Cant wait for Elon to deliver a sport car.. 0-60 in 1,1 is mindbogglingðŸ‘ðŸ‡³ðŸ‡´"
413,-,Can you imagine California when they force everyone to buy EV's??? No chance.
414,=,"When you buy a Tesla you agree to a NDA to this day.
That has a lot to do with it"
415,-,"So basically there shit just get a tesla 
Fucking lane assist going wrong some things never change"
416,+,"Sure wish they still made the Bug like this with all the aftermarket performance parts
Fun little car for around town or, off road with long travel suspension kit
Really nice rebuild ! ! !
Thanks for sharing the videos"
417,=,"This is not an engine, but electronics and gears. You have not dismantled the part where the magnets and coils are!"
418,-,"Man, this car really, sucks"
419,=,"If you can't tell the difference between an engine and a motor, you have no business prying one of those motors apart. You're a Darwin Award just waiting to happen."
420,+,"great review as always. maybe you could do a video on one-pedal driving showing us how it works and why it's so good, or not so good. keep up the great content"
421,=,The rear seat is space is just like a E Type 2+2.
422,-,"Ok, got it. Peugeot bad, Chinese MG the best car ever. Yeah right...."
423,=,"that's nothing, Australia company makes an electric motor (about the same size) that is rated at over 1,300 hp, and uses 5 of them in their dragster race car."
424,=,"ÙŽA while ago I think it was in an interview with Munro, Ford CEO, Jim Farley in response to the question of whether they will cooperate with Tesla or not!,  replied with something like this, *""We are Ford and we don't need anyone""* , now the opposite has happened and Jim admits that working with Tesla is very important to them."
425,+,"Many of these engines have found there way into experimental aircraft. This is due to their lightweight, reliability  and abundance of parts"
426,=,"It looks more like a method of improving emissions to meet regulations than a method of improving efficiency.  By closing the intake valve early, the volumetric efficiency drops, thus less power is generated because less air gets sucked into the engine.  Since it compresses less air, compression pressures drop, giving it a similar effect to that of lowering compression ratio.  It is much like putting in a more mild camshaft in old-school terms. It didn't seem to help fuel economy figures when everyone did this back in the late 1970s."
427,+,Samsung are for me. With little willies midget
428,=,This is what Americans think a European 4 cylinder engine is
429,+,This looks like a car from cyberpunk 2077
430,-,"You should take into account that cars like the Audi e-tron are preferred over Tesla for their luxury interior but that they are too expensive. The cheapest Audi E-Tron is still US$10.000 more expensive than the most expensive Tesla Model Y. That is not going to cut it for Audi especially not as Audi does not have the monthly updates and other high-tech elements of software and hardware that Tesla has. The Audi -E-Tron is just more comfortable and nicer to be in than a Tesla, that's all."
431,-,looks shitty. outside and inside (like a toy car)
432,=,in the mini someone had their boot open
433,-,"Just realized the Tesla was  NOT in plaid mode, animation was not on the screen"
434,+,As always a great honest review and interesting insight into electric car ownership. Thanks Ian and Miss Hubnut!  I like the idea of the 'Onto way' that you can rent the car on a month by month basis. IT gives potential owners the 'try before you buy' option. I'm a bit on the fence with electric cars. I love the clever engineering behind them but am concerned about their end of life recyclability as well as the fact their labelled emission free which they arnt really. One other concern is the battery life. A current petrol or diesel car is designed to have a life of say 10 to 15 years. Most EV's and hybrids seem to have battery issues within 10 years and when the battery needs replacing its a write off due to the fact the battery is basically the floorpan of the car. I have never been in a position to own a new car (i think the newest was 6 years old) due to the cost so if I decided to go electric then I run the risk of a battery towards the end of the cars life. Hopefully I will be proven wrong and future battery's will be more recyclable and last longer. I think electric cars have their place but are not the future. I think Hydrogen powered cars are the future using fuel cell power. ITs an exciting time to be an Automotive engineer that's for sure!!
435,-,At 38k for something so impractical in terms of boot space etc I'd probably end up buying a 997 ðŸ¤·â€â™‚ï¸
436,-,"KIA EV6 is best EV currently or I4, Tesla Model Y just overrated, its a car with an interior designed in Minecraft with an ipad in the middle..... EV6 by far more luxurious.... Tesla will give you gimmicks while EV6 will give usable options like actual digital display (imagine asking for this in 2022) + a headup display that's useful + better seats + Meridian speakers + currently best reliability (according to JD Power) + balanced power to range ratio + Apple carplay or android auto + as someone who tested Model 3 and KIA adaptive cruise control, KIA simply better and learns from your driving behaviour over time"
437,-,Competitive pricing @60ppkwh ðŸ¤£ðŸ¤£ where I live public charging is 29c
438,+,Butt Bhai aapko India main Tesla mila kahan se. Actually main bhi ek 4 wheeler Lena chatha hu and I prefer electric. So please tell me if you Imported it from somewhere or did something else to get it here. Love ur Videos bhai keep moving onâ¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸
439,=,"She:*presses a button* 
Car: *turn into a transformer*"
440,+,"If I have time, I event don't mind to see this video twice. Nice job indeed!"
441,-,"Ya had to take a CHERRY , TOP SEED VW ?.........kinda fucking STUPID !"
442,-,It seems like a toy for rich people. Let's be honest how many ordinary people are going to be able to afford one of these brand new? Not many I woukd say. It looks amazing but I agree with you Tish a lot if kit it does not need like the heated seats for instance. Crazy. They just add weight and use energy you might need. It's supposed to be a sporty car not a luxurious one. They should be trying to lose weight not gain it.
443,-,"Similar performance in a straight line but really, who wants to be seen in a Tesla these days?  You know.....Elon and all that.  No thanks."
444,=,It MIGHT be time to go ahead and drop the hammer and get a charger at the crib bro.
445,=,Fords had one in Europe for several years.
446,=,Who heard the camera man try to hold in his cough but let it out by accident. Matt paused for a second while reviewing the infotainment
447,-,"Yes build and sell here and go bankrupt like GM, Ford and  then Tata bye bye"
448,=,It is the Swedish/Chinese electric equivalent of a Subaru SUS (Outback sedan) with Conestoga wagon wheels.
449,-,"i don't know why these CEO's & engineers don't pay attention, where it's necessary.  fuel-cells require platinum, which is 3x more rare than gold - and therefore, very costly (these mega car-companies have huge R&D budgets, and the engineers don't pay heed).  it's like Tesla using lithium instead of sodium for their batteries - because sodium-ion batteries require 38% more volume, they chose lithium, because of its higher energy density.  if you ignore consequences, they have a means of costing you dearly in the future - it doesn't matter the scenario; consequences end-up in the final product/end.  the solution has been, and will be, to create hydrogen-electric hybrids.  in the case of Tesla, the solution should be, gasoline-electric EV's - using sodium-ion batteries.  for whatever reason - they just don't clue in.  there's like, an IQ shortage on Earth..."
450,+,"Tesla is a great car buy in india we need value for money options and TATA would meet that.
But at the end if any company wants to start in india they need to surrender to govt first"
451,=,"If you drove with an open touchscreen laptop on the dashboard, surfing the web etc, it would be dangerous and illegal. If it's a fixed laptop, well that's just fine."
452,-,So much for that perfectly restored engine.
453,=,"Tesla has made this announcement many, many years ago."
454,=,do u still have the 6x6 jeep
455,+,"The fact that you always put trance for soundchecks is amazing
Always a great review"
456,=,What's the radio like?
457,-,Looks like the future if youâ€™re still in 1980 lol itâ€™s a hundai lmao must ainâ€™t worried
458,+,Your future video will be checking Elon Musk computer â™¥ï¸â™¥ï¸..love u broo
459,-,McLaren never want to lend a Senna or P1 it seems. I havenâ€™t even watched the video yet and I know the 720s is going to loose
460,-,224  miles instead of 260 miles... and he does not care... would he accept everything containing almost 15% less than what he paid for ?
461,-,"It takes me 2 min to gas up my car and i get about 280mi in my i20
The Tesla is the closest to that, the problem is it takes hours! to charge it to full.
2min or several hours?, i am sticking with my petrol car (You can even have a spare petrol can in mine in case i run out).
Electric cars are not where they need to be in regards to charging times to be worth the price tag.
Besides, i live in a flat and i am not allowed install a charger, so i need to charge before i drive home or hope there is charge left in the morning so i can drive to a charger.
Oh and i would need to get up a few hours earlier befor work, just to go charge?
Na i am good thanks!"
462,=,One of the first 1000 people to watch and comment
463,+,Honda is also retro.
464,=,Motor  Made in BRAZIL
465,=,"Wese to abhi Mai Alto bhi nnhi khreed skta
Lekin fir bhi chahoga Tesla aye India m"
466,-,"Bro, range is less considering the size"
467,=,"Sorry, but did anyone else notice the McQueen shoe?"
468,=,"TATA
Name is enough."
469,+,Great Move!
470,-,Na not really Matt. Doesn't look good at all.
471,-,Do you know how many communitys were destroyed for the battery do you know how many kids died in collapsing caves for the battery do you know what they do with the old battery because it can't be recycled look into it
472,-,"First they need to completely scrap there software, and start again"
473,-,All fun and games until mom switches off the wifi
474,-,"The EUronazimafia aren't flying the old red & white with black swastika anymore, plastering it everywhere as in WWII..... it's galling yellow & shrieking blue now for The Nazi Schwab's WWIII/NWO. They could not have picked two more dystopian noxious colours than they did.  Nice Fiat though. Like a brand new version of the same old Nazi's Volkswagen Beetle, yeah?"
475,+,"Awesome video Rob,you and Chris make a great team  and 99/100 find the fault.
stay safe and keep sharing."
476,-,"Complete nonsense. Family car buyers are more concerned with practicality, price/value, safety - not how it looks. You might as well have eliminated on colour..."
477,+,I love my 2013 Fiat 500.  Only issue I have is it started to develop some kind of vibration on the driver side that I need to figure out.  Iâ€™m sure itâ€™s minor.
478,-,"% on the dash isnâ€™t that helpful to predict when you need to recharge, the rate of change is whatâ€™s key. There needs to be more intelligent algorithms that link to sat nav routing for instance."
479,-,this car seems like a huge piece of plastic
480,=,1.2k Apple fanboys ðŸ˜…
481,+,This is a lot more sensible than anything out there.  The issue is the production. and availability of hydrogen.  Japan is using nuclear power to make the hydrogen called red hydrogen.  Electric cars are not the answer for sure.
482,-,"Zero emissions, really?   Everyone wants a.free ride that doesn't exist."
483,-,"These car manufacturers receive more complaints than most, especially Peugot; as bad as Fiat and Chrysler.  Over-priced, bound for scrapyards before they ever reach 100,000 km."
484,=,Leave everything electronic in it and see how you open it
485,=,"The question you all should ask is... what if Porsche had a 1000hp turbo s? How would it be like? I still prefer the Porsche. With way less power, still gives great performance compared to the other two with way more power."
486,+,Respect to TATA
487,-,"This is a scandal!
It should be forbidden to destroy icons of automotive history.
It is a shame !"
488,=,Weren'tÂ the EA888s notorious for oil burning? I wonder if having a vacuum during the intake stroke 'helps' pull more oil into the combustion chamber to be burned?
489,=,Where to buy this
490,=,how much do the batteries necessary to run the motor?
491,=,Welcome to video for rich
492,=,Wow Jim Farley looks like Chris Farley small world lol I would say they are related
493,=,How did you not mention the engine light that gives it a true VW feel and appearance.
494,-,"Does anybody care about the slave
Labour of 5 year old mining for lithium and cobalt to make these batteries. Or is this forgotten and lost within the great climate scam. Keep your electric vehicles. Matt, maybe you should think about how these cars are made before showing them"
495,=,do the 5 cylinder engines have this carbon buildup issue
496,+,"Now i can have an $80,000 coal powered car....whoooo"
497,-,It is a death trap if a truck hits you.
498,+,I have a lot of beautiful used engines and auto parts
499,-,"""look vegan seats, but have the option to pay more if you want to kill some animals""ðŸ˜†."
